16:35:33.465 -> Raw sensor readings from photoresistor
16:35:56.248 -> Photoresistor Raw Output = 645
16:35:56.288 -> Photoresistor Raw Output = 647
16:35:56.328 -> Photoresistor Raw Output = 650
16:35:56.408 -> Photoresistor Raw Output = 652
16:35:56.448 -> Photoresistor Raw Output = 656
16:35:56.488 -> Photoresistor Raw Output = 662
16:35:56.568 -> Photoresistor Raw Output = 668
16:35:56.608 -> Photoresistor Raw Output = 676
16:35:56.648 -> Photoresistor Raw Output = 685
16:35:56.688 -> Photoresistor Raw Output = 694
16:35:56.768 -> Photoresistor Raw Output = 703
16:35:56.808 -> Photoresistor Raw Output = 713
16:35:56.848 -> Photoresistor Raw Output = 725
16:35:56.888 -> Photoresistor Raw Output = 736
16:35:56.968 -> Photoresistor Raw Output = 747
16:35:57.008 -> Photoresistor Raw Output = 759
16:35:57.048 -> Photoresistor Raw Output = 770
16:35:57.088 -> Photoresistor Raw Output = 779
16:35:57.168 -> Photoresistor Raw Output = 786
16:35:57.208 -> Photoresistor Raw Output = 793
16:35:57.249 -> Photoresistor Raw Output = 799
16:35:57.289 -> Photoresistor Raw Output = 804
16:35:57.369 -> Photoresistor Raw Output = 810
16:35:57.409 -> Photoresistor Raw Output = 816
16:35:57.449 -> Photoresistor Raw Output = 823
16:35:57.529 -> Photoresistor Raw Output = 828
16:35:57.569 -> Photoresistor Raw Output = 832
16:35:57.609 -> Photoresistor Raw Output = 837
16:35:57.649 -> Photoresistor Raw Output = 841
16:35:57.729 -> Photoresistor Raw Output = 845
16:35:57.769 -> Photoresistor Raw Output = 848
16:35:57.803 -> Photoresistor Raw Output = 851
16:35:57.883 -> Photoresistor Raw Output = 856
16:35:57.923 -> Photoresistor Raw Output = 859
16:35:57.963 -> Photoresistor Raw Output = 861
16:35:58.003 -> Photoresistor Raw Output = 862
16:35:58.083 -> Photoresistor Raw Output = 864
16:35:58.123 -> Photoresistor Raw Output = 867
16:35:58.163 -> Photoresistor Raw Output = 871
16:35:58.203 -> Photoresistor Raw Output = 875
16:35:58.283 -> Photoresistor Raw Output = 879
16:35:58.323 -> Photoresistor Raw Output = 878
16:35:58.363 -> Photoresistor Raw Output = 877
16:35:58.403 -> Photoresistor Raw Output = 878
16:35:58.483 -> Photoresistor Raw Output = 881
16:35:58.523 -> Photoresistor Raw Output = 884
16:35:58.563 -> Photoresistor Raw Output = 889
16:35:58.603 -> Photoresistor Raw Output = 891
16:35:58.683 -> Photoresistor Raw Output = 891
16:35:58.723 -> Photoresistor Raw Output = 892
16:35:58.763 -> Photoresistor Raw Output = 892
